,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
47,23918a19-2a72-58f3-8669-4099fac4ca8f,1,0,0,5,1,0,0,0,1,0,0,13,0,11,0,1,0,4
48,8bad00df-e4d2-5534-9ef3-a0cf6bde3150,13,1,2,6,7,0,0,1,0,0,0,10,0,0,0,0,0,3
49,94d5eb39-78fd-57e9-9e35-465aa988c711,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1
50,88138dd2-9f33-5fbe-8787-7fb8aec868aa,11,2,0,10,14,3,0,0,0,0,0,16,1,0,0,0,0,8
51,aa1c9a04-1807-54de-8d67-55a6a41c94af,4,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
52,44e58a92-5ee6-58f1-af13-409be504a8cf,7,4,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,2
53,9f2f70b4-0f5f-5a01-a2c2-9e7d6c442095,4,1,0,6,3,0,0,0,0,0,0,2,0,0,0,0,0,0
54,54069fad-4c14-5540-a333-50acdcf635bc,3,2,0,4,5,0,0,0,0,1,0,6,0,0,0,0,0,0
55,e0f09c6e-cd7a-5e6a-b44b-d231b0c93ad5,5,3,0,1,13,0,1,0,0,0,0,3,0,0,0,0,0,4
56,8b68c020-ddbc-5e51-a42b-f0b8f7ea8e7e,1,2,0,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
57,25a087f7-2592-5346-9b66-1bfbd6e43a0c,1,3,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,2
58,c090b025-7110-5cbc-aa1f-430e9b1a52de,6,2,0,1,4,0,0,0,0,0,0,2,0,0,0,0,0,0
59,6a48d866-523a-5dd9-bd3a-4539b714db8e,7,2,0,3,10,0,0,1,0,0,0,1,0,0,0,0,0,0
60,cb238c74-dd25-599c-b81a-e7a6272fd7da,3,1,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0
61,5f8d6951-0bfc-5177-9f3a-e57f01f4c035,3,3,0,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0
62,c42a420b-8286-5b0b-bbe4-75e2b3b26649,10,5,0,7,8,0,0,0,1,0,0,2,0,0,0,0,0,0
63,260f1c37-7421-58a5-9845-be8bd6021948,2,2,0,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0
64,3eec48b6-75fc-5836-b1d8-c87fca70f69b,11,0,0,6,5,2,0,5,0,0,0,3,2,0,0,0,0,6
65,cb76e108-7571-5734-b6ea-02a4037a0f20,5,5,3,6,9,1,0,0,0,0,1,4,0,0,0,0,0,1
66,4916edba-ec8c-5b38-8008-a282ca18ee12,28,2,0,31,17,0,0,1,0,0,0,10,0,2,4,0,0,8
67,e18bb499-81dd-52c6-9003-28e6e07860fb,3,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
68,11336521-a16b-5d02-bfd0-79ab75b5c615,3,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0
69,73a175e3-48fc-598f-adb5-aaa0189430a8,1,1,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0
