,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL,label
10310,912a8b51-6e18-52fb-96d7-8bff89bc0aa7,63,8,8,17,43,1,1,1,0,1,0,44,3,0,1,6,0,24,0
10263,95c2a03a-ac8f-5362-a2df-2f2be146464f,32,12,0,10,8,1,0,0,0,0,0,8,5,0,0,0,0,3,0
13328,032758f8-2a11-5a1b-b64a-6284ce918c0d,1,0,0,2,3,0,0,0,0,0,0,2,0,0,0,0,0,4,0
10543,06a2c69f-3f02-5539-82ed-be616576856e,2,0,0,0,2,1,0,0,0,0,0,2,2,0,0,0,0,1,0
15172,9fc7d552-c4d0-5c0f-bfa2-b388f55215e9,9,3,0,8,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
6900,ba06599a-2586-5a88-a3bd-9206837fb89f,0,1,0,2,3,0,0,0,0,0,0,5,0,0,0,0,0,7,1
16323,ec02bd58-7927-5c2c-9ef5-9a39a3c78c82,2,1,0,5,6,0,0,0,0,0,0,1,0,0,0,1,0,3,0
5370,4cb2ce13-9966-5fc4-8466-a2baf4bbd09c,15,1,0,7,4,0,1,0,0,0,0,16,5,0,0,0,0,4,1
6958,33d98399-999a-542b-93f8-20e0eee5ea7f,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2081,4183df50-aa36-50aa-a4c1-aef5e758718a,2,0,0,7,7,1,0,0,0,0,0,5,0,0,0,0,0,5,1
7510,7766359d-ea57-5575-99dc-7ddbd36e58e3,10,3,7,6,4,2,0,1,0,0,0,9,11,1,0,2,0,29,1
2987,83bf169d-f02b-569b-8c76-9199bba85963,2,1,0,3,1,0,2,0,0,0,0,16,0,0,0,0,0,7,1
3835,71ca4a95-772a-5ab3-9fa3-2477529590bb,12,1,0,6,1,0,1,0,0,0,0,4,0,0,0,0,0,5,1
17620,3ddabb42-4cdb-53fd-ba1a-b541616662f9,8,0,1,11,18,2,1,0,0,0,0,28,11,1,1,1,0,23,0
10694,43ad37cf-271d-5184-8c2a-f80aa5ac0581,8,0,0,4,2,0,0,0,0,0,0,3,1,0,2,1,0,9,0
18799,2db54081-b270-57d5-9ffd-aae25d5d2ba4,3,4,2,6,9,0,0,0,0,0,0,7,0,0,0,0,0,1,0
2957,cf1eda7c-4481-5eb9-93a1-c3dee80d5ab2,12,6,0,12,24,0,0,1,0,0,0,38,0,0,3,0,0,53,1
6942,dd3a1d1c-41d3-5b4d-92cd-f85471e66f71,1,0,0,8,3,0,0,0,0,0,0,11,0,0,0,0,0,6,1
14313,f6f890ea-e044-5017-89a5-f70011e38672,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0
5981,2444b8ac-3373-5b61-99a2-f7248927308a,8,1,0,3,2,0,0,0,0,0,0,3,0,0,0,0,0,1,1
14163,6c6298da-4689-51ce-b034-68b970ea200e,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,2,0
8488,e1facbfc-cbc2-5f0c-af23-90d219107194,19,13,0,29,4,0,1,2,0,0,0,9,0,0,0,0,0,8,1
3104,0533e64d-ff51-513c-a67b-05e03745f110,2,0,0,10,4,0,3,0,0,0,0,2,1,0,0,0,0,4,1
14413,fea02fd8-23ec-5097-bc6f-62485484c358,1,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,1,0
14729,46a46ddb-b96c-5dcc-9c1b-21760fec3035,2,0,0,2,7,2,0,1,0,0,0,5,2,0,0,0,0,11,0
8285,ff905e6e-5a24-5eb9-87fc-cd15a41dff61,3,1,0,2,1,0,0,0,0,0,0,6,0,0,0,0,0,3,1
1644,b7437725-ccaf-52fa-9e43-2563124a7dd0,17,0,0,5,4,0,0,0,0,0,0,11,1,0,0,0,0,5,1
12226,a70285d1-d6be-5b25-916e-1c8521d344db,0,0,0,1,7,0,0,0,0,0,0,4,0,0,0,0,0,1,0
834,0bc215d9-64d0-52dc-b330-c83c9fde63e5,4,0,0,8,3,0,0,0,0,0,0,3,3,0,0,0,0,2,1
12190,37df0ae4-d4d1-58cf-8b14-2af8d6c9e5a1,8,3,0,2,6,0,0,0,0,0,0,4,0,0,0,0,0,2,0
652,00e2a879-21d0-5dfc-8a44-10701ca09d48,2,3,1,8,3,0,0,0,0,0,0,2,0,0,0,0,0,3,1
14521,d36fef78-38c9-58de-8446-6ce012035642,2,0,0,5,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0
11308,279300b1-b035-577c-8f29-a9e7b08d8a72,9,2,2,2,1,1,0,0,0,0,0,3,0,0,0,0,0,2,0
6551,9c0408c1-c50f-578e-87e5-b3d0327ffcfb,12,1,2,14,9,2,0,1,0,0,0,3,0,0,0,0,0,1,1
5023,54c724e3-7bec-56e2-a98e-9fbb00920c8f,3,0,0,3,3,0,1,0,0,1,0,2,0,0,0,0,0,0,1
2831,466cd814-6ec7-5aab-abfd-8eb9c11f4bce,14,0,0,7,5,0,0,0,0,0,0,8,0,0,0,0,0,13,1
17217,c90b8008-3a1a-5442-bf11-090b41f547ef,18,0,0,14,9,0,0,1,0,0,0,14,4,3,0,0,0,12,0
14266,8097bf8f-fe7d-5692-a5f6-588c970f84bf,4,1,0,2,6,1,0,0,0,0,0,3,0,0,0,1,0,20,0
16544,cd8d85cb-1060-5a1b-9819-bbabff844038,1,0,0,0,2,0,0,0,0,0,0,4,0,0,3,1,0,7,0
9939,21acf063-ad2a-5984-8690-eb9ec2da081b,2,1,2,3,13,2,3,1,0,0,0,0,0,0,1,0,0,5,1
7673,99bbf50f-6b2c-520d-866e-b0b78e55152f,90,4,4,25,12,1,8,2,0,2,0,73,1,0,2,6,0,58,1
14196,7f34b9ee-6634-52f9-a172-9d3fcc72d14d,8,1,1,3,12,1,0,0,0,0,0,4,1,0,0,0,0,6,0
9270,16baf887-1925-5e8a-b02a-47ec0463b2d7,9,0,0,11,0,0,0,0,0,0,0,3,0,0,1,0,0,3,1
3253,051b2e1c-f684-5b82-be02-6597c60fff5f,15,2,0,9,4,1,0,0,0,1,0,3,1,0,0,0,0,4,1
17020,69e72ac7-91ba-53fd-b0a1-afdb4c0e95f2,3,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0
8440,efb0f5fc-6759-57ac-89c6-6f0440b05352,1,0,0,10,4,0,0,0,0,0,0,9,0,0,0,0,0,7,1
17053,66c4ed52-f22a-59ac-94d2-40bf182624be,1,0,0,4,3,0,0,0,0,0,0,2,1,0,0,0,0,2,0
