,uid,PERSON,NORP,FAC,ORG,GPE,LOC,PRODUCT,EVENT,WORK_OF_ART,LAW,LANGUAGE,DATE,TIME,PERCENT,MONEY,QUANTITY,ORGINAL,CARDINAL
83,8443a0d2-a426-5174-9018-948dbca78e96,18,1,0,22,11,0,0,0,0,0,0,11,1,1,0,0,0,5
84,d84f2e71-cd07-5faf-ae53-abebe063a001,7,3,0,5,11,1,0,0,3,0,0,5,0,0,0,0,0,1
85,b2595209-9e53-5284-a9a7-dad98358affc,17,3,0,24,5,0,4,0,0,0,0,8,0,0,0,0,0,8
86,9706c071-12e5-5477-816c-e6204ea42dcb,19,0,1,13,4,0,0,0,0,0,0,9,7,0,0,1,0,11
87,5fd85f99-1ebd-5f53-9448-99f7c7996ed2,23,2,0,58,12,2,1,0,2,0,0,36,1,2,2,0,0,17
88,34242dc7-1874-574c-8ee6-8957f0b551d7,18,0,1,9,4,0,15,0,0,0,0,5,0,0,0,0,0,21
89,70bd82b1-8651-5244-bf10-1ed2ddcdebef,6,0,2,14,10,0,0,1,6,0,0,8,2,0,0,0,0,8
90,507cc631-4c63-5732-8705-538b916aeaec,34,21,4,44,53,5,6,4,3,1,0,49,21,0,0,1,0,14
91,ec065854-1b1c-52af-b020-f31ce5e4dead,12,5,1,13,5,2,2,0,1,0,0,12,0,0,5,0,0,2
92,78a341ae-7745-58c8-a09d-832ed93a7827,9,0,1,10,4,1,0,1,0,1,0,8,1,0,2,1,0,3
93,026a0368-a4b5-54a5-be5e-b85915699afd,23,1,1,4,1,0,0,0,15,0,0,1,1,0,0,0,0,4
94,a87ac407-df7f-5d68-85ad-c7bbd8b3e02d,4,2,0,9,11,0,0,0,2,0,0,5,0,0,4,0,0,5
95,814dd94e-9b23-5e4a-a579-29b644b23239,0,1,0,10,15,0,0,0,0,0,0,3,0,1,0,1,0,9
96,3b059eae-87cd-59de-9dbb-184ae9540df5,0,0,0,8,2,0,0,0,0,0,0,4,0,2,3,0,0,0
97,c95c7471-8010-5651-9c86-9c8976acc003,14,5,0,3,4,0,2,0,4,0,0,5,0,0,1,0,0,2
98,d08959a5-83a4-56a0-903a-da9c0d3cb684,5,0,0,10,4,7,4,0,0,0,0,7,0,1,0,0,0,24
99,9e9646ca-42dc-5aad-8fdf-87a2bd67e49c,15,0,0,25,1,0,0,0,0,0,0,7,0,0,1,0,0,5
100,3cca382a-61e2-5e33-9b9c-5588a6739c75,3,0,0,7,1,0,0,0,0,0,0,7,0,12,0,0,0,17
101,7ed1e134-88c8-5f6c-8c3d-dcbe0a1bcc5d,11,1,1,10,16,2,0,0,0,0,0,7,0,0,1,0,0,10
102,f191659f-d6de-5452-8140-76d6fed2938e,39,11,4,32,25,7,4,2,0,0,0,32,7,0,2,2,0,27
103,8ad49403-3577-5341-98af-c5584fbfac26,3,0,1,23,7,0,0,0,3,0,0,2,0,0,0,0,0,4
104,7c266ee2-ca18-5003-8c7d-f1767bc5a44b,1,0,1,10,14,0,0,0,0,0,0,3,0,0,0,0,0,2
105,6c65131c-0f40-5c37-a25f-0d55fe7e8636,4,0,0,14,7,0,0,0,2,0,0,3,0,0,0,0,0,3
106,5b2b72d5-d2cc-5e3e-bbfd-1924e823d89b,2,0,0,7,3,3,0,0,0,0,0,2,0,1,1,0,0,7
107,33da3b6b-e159-5099-b5ca-dc9fc51a3bc7,1,0,0,6,9,1,2,0,0,0,0,5,1,0,2,0,0,7
108,c3cba095-9f14-5177-9b80-32bf50e92ad1,2,0,0,6,3,0,0,0,0,0,0,1,0,7,0,0,0,6
109,840b08fc-8362-5752-950b-b2fdece52dea,28,9,0,4,15,1,3,0,1,0,0,13,1,0,0,0,0,3
110,de56f92f-c49e-5ee4-afbb-25471dcf006f,0,1,1,18,2,0,0,1,1,1,0,6,0,1,2,1,0,1
111,240209a7-9649-5fdd-a858-b223e9c9d8b2,3,0,1,17,4,1,0,0,0,0,0,7,0,1,2,1,0,2
112,69653191-f982-5049-bdfa-a3fb10a3a346,2,0,1,6,5,3,0,0,0,0,0,15,1,0,0,0,0,14
113,fffc0bb0-2c09-5c14-8939-46cbe2958480,25,1,1,17,3,3,0,0,0,0,0,20,3,1,0,1,0,16
114,2e72802c-d52f-5572-aae9-dd298444f05d,0,1,0,4,0,0,0,0,0,0,0,4,0,0,6,0,0,2
115,9c37e63a-87fd-52e5-aedd-3f2c0fa352f4,13,1,2,21,13,2,1,2,0,0,0,8,0,0,0,0,0,6
116,d6a0b856-a7ff-55d6-93a5-4cd61104c1bd,9,0,0,7,3,0,0,0,0,0,0,4,0,0,1,0,0,1
117,71f166f3-04d3-510f-936a-5e05766a8c99,44,20,3,33,47,1,3,0,0,0,0,37,8,0,1,0,0,11
118,5388a39d-7078-5211-a85b-3c6835e5bc87,14,0,0,20,7,0,3,0,1,0,0,6,0,0,0,0,0,0
